day,leg,side,outcome,pnl
2025-11-26,CV2_S07,SELL,SL,-10.52
2025-11-26,CV2_S07,BUY,TP,9.33
2025-11-26,CV2_S07,BUY,TP,8.95
2025-11-26,CV2_S07,BUY,TP,8.23
2025-11-26,CV2_E1,BUY,TP,11.87
2025-11-26,CV2_E2,BUY,TP,11.87
2025-11-26,CV2_E2,BUY,TP,12.1
2025-11-26,CV2_E1,BUY,TP,14.81
2025-11-26,CV2_E2,BUY,TP,14.81
2025-11-26,CV2_S07,BUY,TP,12.38
2025-11-26,CV2_S07,SELL,TP,8.92
2025-11-26,CV2_E1,BUY,TP,7.67
2025-11-26,CV2_E2,BUY,TP,7.67
2025-11-26,CV2_E3,BUY,TP,7.67
2025-11-26,CV2_S14,BUY,TP,6.14
2025-11-26,CV2_E2,BUY,TIME,3.82
2025-11-26,CV2_E2,BUY,TP,8.53
2025-11-26,CV2_S07,BUY,TIME,2.67
2025-11-26,CV2_S14,BUY,TP,6.83
2025-11-26,CV2_S07,BUY,TIME,-2.27
2025-11-26,CV2_S07,BUY,SL,-7.26
2025-11-26,CV2_E2,BUY,TP,6.22
2025-11-27,CV2_S07,SELL,TP,5.97
2025-11-27,CV2_S06,SELL,TP,6.95
2025-11-27,CV2_S07,BUY,SL,-6.95
2025-11-27,CV2_E1,BUY,SL,-6.21
2025-11-27,CV2_E2,BUY,SL,-6.21
2025-11-27,CV2_E1,BUY,TP,8.86
2025-11-27,CV2_E2,BUY,TP,8.86
2025-11-27,CV2_E1,BUY,SL,-3.99
2025-11-27,CV2_E1,BUY,SL,-4.45
2025-11-27,CV2_E2,BUY,SL,-4.45
2025-11-27,CV2_E1,BUY,TP,5.87
2025-11-27,CV2_E2,BUY,TP,5.87
2025-11-27,CV2_E1,BUY,TP,6.23
2025-11-27,CV2_E2,BUY,TP,6.23
2025-11-27,CV2_E3,BUY,TP,7.13
2025-11-27,CV2_S07,BUY,TP,5.3
2025-11-28,CV2_E3,BUY,SL,-6.81
2025-11-28,CV2_E3,BUY,SL,-6.44
2025-11-28,CV2_E1,BUY,SL,-6.14
2025-11-28,CV2_E2,BUY,SL,-6.14
2025-11-28,CV2_E3,BUY,SL,-6.14
2025-11-28,CV2_S14,BUY,SL,-7.68
2025-11-28,CV2_E1,BUY,SL,-6.38
2025-11-28,CV2_E2,BUY,SL,-6.38
2025-11-28,CV2_S05,BUY,TP,14.58
2025-11-28,CV2_S14,BUY,SL,-7.98
2025-11-28,CV2_E2,BUY,SL,-6.58
2025-11-28,CV2_S14,BUY,SL,-8.23
2025-11-28,CV2_E1,BUY,SL,-6.22
2025-11-28,CV2_E2,BUY,SL,-6.22
2025-11-28,CV2_E3,BUY,SL,-6.22
2025-11-28,CV2_S14,BUY,SL,-7.78
2025-11-28,CV2_E1,BUY,SL,-5.96
2025-11-28,CV2_E2,BUY,SL,-5.96
2025-11-28,CV2_S06,BUY,SL,-7.55
2025-11-28,CV2_S14,BUY,TP,5.96
2025-11-28,CV2_E1,BUY,TP,9.96
2025-11-28,CV2_E2,BUY,TP,9.96
2025-11-28,CV2_S14,BUY,SL,-9.95
2025-11-28,CV2_S14,BUY,TP,10.76
2025-11-28,CV2_E1,BUY,TP,15.01
2025-11-28,CV2_S07,SELL,SL,-11.43
2025-11-28,CV2_S02,BUY,TP,20.55
2025-11-28,CV2_S14,BUY,TP,12.56
2025-11-28,CV2_S06,BUY,TP,11.53
2025-11-28,CV2_S02,BUY,TP,19.06
2025-11-28,CV2_S14,BUY,TP,13.39
2025-11-28,CV2_S06,BUY,TP,11.62
2025-11-28,CV2_S06,BUY,TP,11.69
2025-11-28,CV2_S07,SELL,SL,-12.31
2025-11-28,CV2_S06,BUY,TP,13.01
2025-11-28,CV2_S06,BUY,TP,13.51
2025-11-28,CV2_S07,SELL,SL,-13.51
2025-11-28,CV2_S06,BUY,TP,14.12
2025-11-28,CV2_E2,BUY,TP,6.63
2025-11-28,CV2_S07,SELL,SL,-13.4
2025-11-28,CV2_S07,BUY,TP,12.24
2025-11-28,CV2_S07,BUY,TP,10.23
2025-12-01,CV2_S07,BUY,TP,8.41
2025-12-01,CV2_S07,BUY,SL,-10.02
2025-12-01,CV2_E2,BUY,TP,9.04
2025-12-01,CV2_E3,BUY,TP,10.95
2025-12-01,CV2_E1,BUY,TP,10.7
2025-12-01,CV2_S14,BUY,SL,-13.45
2025-12-01,CV2_E1,BUY,TIME,3.01
2025-12-01,CV2_E2,BUY,TIME,3.21
2025-12-01,CV2_S14,BUY,TP,12.96
2025-12-01,CV2_E1,BUY,TP,18.12
2025-12-01,CV2_E2,BUY,TP,18.12
2025-12-01,CV2_S02,BUY,TIME,-14.1
